task,base_model,train_samples,validation_samples,test_samples,epochs,batch_size,max_length,fp16,accuracy,precision_macro,recall_macro,macro_f1
sentiment,distilbert-base-uncased,200000,5000,5000,2,16,192,True,0.8154,0.7726359733056306,0.7656666666666667,0.7680766695328792
rating,distilbert-base-uncased,200000,5000,5000,2,16,192,True,0.6578,0.6565770104233895,0.6577999999999999,0.6564847859270933
